Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2020,1186.5624555532247,89.616009675,19.307185680000003,97.14705449999998,3331.35897415,N.L.
2021,1329.9102855419658,68.31060833285719,19.92992731,123.80063825,3644.30099212,N.L.
2022,1435.7160878838974,131.16928945261907,20.75817875,30.47276225,3900.261253505,N.L.
2023,1502.0598723009853,161.01988731490238,21.14607601185311,0.0,4173.238265288683,N.L.
2024,1760.4676755514242,188.42239818521645,22.2291115784088,0.0,4471.845481758102,N.L.
2020,-7.388284245567123,-28.77349948058352,7.299958450634536,0.0,-0.0441689657220134,N.L.
2021,12.080934241418117,-23.774101769771548,3.2254396902863247,27.436327212576515,9.393824574244425,N.L.
2022,7.955860142762461,92.0189157348304,4.1558176661508295,-75.38561781203094,7.023576316513336,N.L.
2023,4.6209543082345705,22.757306978525584,1.868647854538352,0.0,6.998941712901141,N.L.
2024,17.20356212263281,17.01809094967488,5.121685772568929,0.0,7.15528799189622,N.L.
2024,0.0,0.0,0.0,0.0,0.0,N.L.
2020,35.617970466721545,2.690073641729517,0.5795588475999124,2.9161388866772358,100.0,N.L.
2021,36.49287719147251,1.8744502301144683,0.5468792877727194,3.3971024489385395,100.0,N.L.
2022,36.81076714011606,3.363089827245361,0.5322253408369888,0.7813005403834273,100.0,N.L.
2023,35.99266988406857,3.858391902858771,0.5067066548233699,0.0,100.0,N.L.
2024,39.36781095708383,4.213526584356361,0.4970903325950664,0.0,100.0,N.L.
2020,-7.347360533000402,-28.74202557028346,7.347372674874752,0.0,0.0,N.L.
2021,2.4563632157772908,-30.31974288594804,-5.638695701485119,16.49316376729002,0.0,N.L.
2022,0.8711013576036652,79.41739787030701,-2.6795578591780056,-77.00097208938892,0.0,N.L.
2023,-2.2224401163211227,14.727589837203414,-4.794714579634207,0.0,0.0,N.L.
2024,9.377301222405832,9.204214876007356,-1.8978085519037569,0.0,0.0,N.L.
2024,0.0,0.0,0.0,0.0,0.0,N.L.
2020,2252.0373660107816,170.08679268112144,36.64409183045984,184.3803465278885,6322.756003503617,N.L.
2021,2523.280800412036,129.6078753165834,37.81368072842354,234.8908621664491,6914.4474061959245,N.L.
